Lib,Barcode,Sample_ID,Genotype,Sampletype,Experiment,Treatment,Concentration,Timepoint
L1,FLD0001,soil_Ctr_0_0_1,WT,soil,plant_soil,Ctr,0,0
L1,FLD0002,soil_Ctr_0_0_2,WT,soil,plant_soil,Ctr,0,0
L1,FLD0003,soil_Ctr_0_0_3,WT,soil,plant_soil,Ctr,0,0
L1,FLD0004,soil_Bx_10_1_1,WT,soil,plant_soil,Bx,10,1
L1,FLD0005,soil_Bx_10_1_2,WT,soil,plant_soil,Bx,10,1
L1,FLD0006,soil_Bx_10_1_3,WT,soil,plant_soil,Bx,10,1
L1,FLD0007,soil_Tb_10_7_1,WT,soil,plant_soil,Tb,10,7
L1,FLD0008,soil_As_1000_7_1,WT,soil,plant_soil,As,1000,7
L1,FLD0009,soil_Tb_100_1_1,WT,soil,plant_soil,Tb,100,1
L1,FLD0010,soil_Tb_100_1_2,WT,soil,plant_soil,Tb,100,1
L1,FLD0011,soil_Tb_100_7_7,WT,soil,plant_soil,Tb,100,7
L1,FLD0012,soil_As_10_1_1,WT,soil,plant_soil,As,10,1
L1,FLD0013,soil_As_10_1_2,WT,soil,plant_soil,As,10,1
L1,FLD0014,soil_As_10_1_3,WT,soil,plant_soil,As,10,1
L1,FLD0015,soil_Bx_10_7_3,WT,soil,plant_soil,Bx,10,7
L1,FLD0016,soil_Tb_100_7_3,WT,soil,plant_soil,Tb,100,7
L1,FLD0017,soil_Ctr_0_7_1,Bx_,soil,plant_soil,Ctr,0,7
L1,FLD0018,soil_Ctr_0_7_2,Bx_,soil,plant_soil,Ctr,0,7
L1,FLD0019,soil_Ctr_0_7_7,Bx_,soil,plant_soil,Ctr,0,7
L1,FLD0020,soil_Bx_1000_1_1,Bx_,soil,plant_soil,Bx,1000,1
L1,FLD0021,soil_Bx_1000_1_2,Bx_,soil,plant_soil,Bx,1000,1
L1,FLD0022,soil_Bx_1000_1_3,Bx_,soil,plant_soil,Bx,1000,1
L1,FLD0023,soil_Bx_10_7_2,Bx_,soil,plant_soil,Bx,10,7
L1,FLD0024,soil_Tb_100_7_2,Bx_,soil,plant_soil,Tb,100,7
L1,FLD0025,soil_Tb_10_1_4,Bx_,soil,plant_soil,Tb,10,1
L1,FLD0026,soil_Tb_10_1_5,Bx_,soil,plant_soil,Tb,10,1
L1,FLD0027,soil_Tb_10_1_6,Bx_,soil,plant_soil,Tb,10,1
L1,FLD0028,soil_As_1000_1_4,Bx_,soil,plant_soil,As,1000,1
L1,FLD0029,soil_As_1000_1_5,Bx_,soil,plant_soil,As,1000,1
L1,FLD0030,soil_As_1000_1_6,Bx_,soil,plant_soil,As,1000,1
L1,FLD0031,soil_Bx_10_7_4,Bx_,soil,plant_soil,Bx,10,7
L1,FLD0032,soil_Tb_100_7_4,Bx_,soil,plant_soil,Tb,100,7
L1,FLD0033,soil_Ctr_0_1_4,WT,soil,plant_soil,Ctr,0,1
L1,FLD0034,soil_Ctr_0_1_5,WT,soil,plant_soil,Ctr,0,1
